Teng,Wanting,auteur1,teng.wanting@umontreal.ca,5148888888,H3C3J7
he,yongkang,auteur2,he.yongkang@umontreal.ca,5140003333,H3C3J7
Lin,Yuxiang,auteur3,lin.yuxiang@umontreal.ca,5147775555,H3C3J7
sun,xx,acheteur1,x.xx@umontreal.ca,5140000000,H3C3J7
yang,xx,acheteur2,x.xx@umontreal.ca,5140000000,H3C3J7
wed,wed,hahah,we@gmail.com,1234567890,test1
six,six,six,we@gmail.com,1234567890,test1
rr,rr,rr,rr@gmail.com,1234565432,test4
help,rr,rrr,rr@gmail.com,1234565432,test4
zz,zz,zz,zz@gmail.com,1233333333,zz
we,zz,we,we@gmail.com,1233333333,zz
